path,filename,extension,size_bytes,size_mb,modified_utc,sha256,status,source_scope
Forli_1488_GIS_v15_QGISProject(1).zip,Forli_1488_GIS_v15_QGISProject(1).zip,.zip,8815,0.008,2026-07-03T22:20:23.726764Z,0079c2d06f019999478bb85a54bdb7f840d60abd2d4a516154b32df05247842a,REVIEW_REQUIRED,CURRENT_RUNTIME
240093.tif,240093.tif,.tif,2550834,2.433,2026-07-03T22:20:24.348089Z,696f57826ac42eb9725664303cb5ab25118d4246fb3d0ebb9b5de57d1afbb846,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_1488_GIS_v16_3DExport(1).zip,Forli_1488_GIS_v16_3DExport(1).zip,.zip,5002,0.005,2026-07-03T22:20:24.138855Z,5632f351e373e97010c108c21adc0d0a24bae3b0b48367b3b3d2e75fa03b90d4,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_DigitalTwin_GCP_Workbench_v2_4_REGEN(1).zip,Forli_DigitalTwin_GCP_Workbench_v2_4_REGEN(1).zip,.zip,21884,0.021,2026-07-03T22:20:24.243347Z,7d53ca77c571aee53f14d541cbff9c8dc291401e9fec3e581507a4c655915229,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_1873_Fase6_Pipeline(1).zip,Forli_1873_Fase6_Pipeline(1).zip,.zip,3663,0.003,2026-07-03T22:20:24.210494Z,ec4aa71430db9185d662139b9e150e7a8798519b1d551bd7b5d78555638322d0,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_DigitalTwin_MultiRaster_v2_2(1).zip,Forli_DigitalTwin_MultiRaster_v2_2(1).zip,.zip,15731610,15.003,2026-07-03T22:20:29.001019Z,2d414c6c55675af35d066bac070ddcccfa0c58d88e9845d40b9e08917caed497,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_HistoricalAtlas_HTML_Demo_v2(1).zip,Forli_HistoricalAtlas_HTML_Demo_v2(1).zip,.zip,9031,0.009,2026-07-03T22:20:24.375405Z,0aa64c07bd66491eca0230ea3c3fa7d970b206fa1e6daaef14468846150d058b,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_HistoricalAtlas_HTML_Demo(1).zip,Forli_HistoricalAtlas_HTML_Demo(1).zip,.zip,5633,0.005,2026-07-03T22:20:24.274701Z,3845252a134801994ff9679ed8446a3bd545c74d5e5227f92337f8a12218d6d1,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_HistoricalAtlas_Project_v1_1(1).zip,Forli_HistoricalAtlas_Project_v1_1(1).zip,.zip,31096,0.03,2026-07-03T22:20:24.354765Z,55afe12ebea1b30fd520d7711434782ffadf222ef80e86998c1b1ff720bb1d9c,REVIEW_REQUIRED,CURRENT_RUNTIME
IIP_Forli_038_Downloader(1).zip,IIP_Forli_038_Downloader(1).zip,.zip,2974,0.003,2026-07-03T22:20:24.396273Z,44b8831a4b7f0e14973596b4ce30518676528f2c26da371037840aa6c5fa8884,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_HistoricalAtlas_v1_Churches(1).zip,Forli_HistoricalAtlas_v1_Churches(1).zip,.zip,14958,0.014,2026-07-03T22:20:24.360854Z,10375285b04a6b41634bee35f8a4a655bf7a306952642c09332e4d959e8c3c99,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_1488_GIS_v03(1).zip,Forli_1488_GIS_v03(1).zip,.zip,15369,0.015,2026-07-03T22:20:24.624190Z,a363df24da89a472862fca3c32e7ee9ad4b071321bdd0bb9766a205b458a97b5,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_1488_GIS_v04(1).zip,Forli_1488_GIS_v04(1).zip,.zip,9540,0.009,2026-07-03T22:20:24.622454Z,8c24f6926002cd657552a852a55fee09aea7402007ff594c2f5b3a8e8f31d9af,REVIEW_REQUIRED,CURRENT_RUNTIME
Forli_1488_GIS_v05(1).zip,Forli_1488_GIS_v05(1).zip,.zip,2004,0.002,2026-07-03T22:20:24.669794Z,f23e2af3d3e4b730ef0ec6840d02118a866841fb57bcb4713e1beb04b3175c99,REVIEW_REQUIRED,CURRENT_RUNTIME
